Product,Revenue,Revenue_MAN,Revenue_WOMAN,Items_sold,Items_sold_MAN,Items_sold_WOMAN,Number_of_fragrancies,Fragrancies_MAN,Fragrancies_WOMAN,Tital_items,Items_MAN,Items_WOMAN
"Y By Yves Saint Laurent LE PARFUM for Men 33 oz  100 ml NEW IN BOX",54614,54614,0,581,581,0,1,1,0,1,1,0
"VIVA LA JUICY GOLD COUTURE by Juicy Couture Women 33  34 oz EDP New in Box",53928,0,53928,1498,0,1498,1,0,1,1,0,1
"mini Yellow Diamond by Versace EDT Perfume for Women Brand New In Box",53739,0,53739,5971,0,5971,1,0,1,1,0,1
"Prada Luna Rossa Black 34 oz EDP Cologne for Men New In Box",52830,52830,0,587,587,0,1,1,0,1,1,0
"Michael Jordan by Michael Jordan 34 oz Cologne Spray for Men New In Box",52480,52480,0,2624,2624,0,1,1,0,1,1,0
"PARIS HILTON edt Cologne Spray 34 oz 33 Men New in RETAIL Box",52325,52325,0,2093,2093,0,1,1,0,1,1,0
"Aramis by Aramis EDT Cologne spray for Men 37 oz Brand New In Box",52206,52206,0,2486,2486,0,1,1,0,1,1,0
"Versace 4pc Miniature Gift Set for Men Eau Fraiche, Dylan Blue, Eros, Pour Homme",51823,51823,0,1787,1787,0,1,1,0,1,1,0
"Ck One Shock for Her by Calvin Klein 6768 oz EDT Perfume for Women New In Box",50804,0,50804,1954,0,1954,1,0,1,1,0,1
"LA NUIT DE LHOMME by Yves Saint Laurent cologne EDT 33  34 oz New in Box",50400,50400,0,720,720,0,1,1,0,1,1,0
"Abercrombie  Fitch Fierce 34 oz 100ml Eau De Cologne For Men Brand New Sealed",50234,50234,0,1383,1383,0,1,1,0,1,1,0
"Creed Aventus by Creed EDP Cologne for Men 17 oz New In Box",50008,50008,0,266,266,0,1,1,0,1,1,0
"MONT BLANC LEGEND SPIRIT EDT 33 OZ FOR MEN WITH CAP NEW IN WHITE BOX",49863,49863,0,1511,1511,0,1,1,0,1,1,0
"Encre Noire by Lalique Cologne for Men EDT 33  34 oz New In Box",48516,48516,0,1866,1866,0,1,1,0,1,1,0
"VERSACE L HOMME edt 33  34 oz Cologne for Men New in Box",48125,48125,0,1925,1925,0,1,1,0,1,1,0
"Hypnose by Lancome 25 oz EDP Perfume for Women New In Box",47235,0,47235,705,0,705,1,0,1,1,0,1
"Giorgio Armani Acqua Di Gio 67 oz  200 ml Mens Eau de Toilette Spray",46512,46512,0,969,969,0,1,1,0,1,1,0
"VOLUPTE by Oscar de la Renta 33  34 oz EDT Perfume For Women New in Box",46284,0,46284,2436,0,2436,1,0,1,1,0,1
"Polo Deep Blue by Ralph Lauren 42 oz Parfum Cologne for Men New In Box",46057,46057,0,869,869,0,1,1,0,1,1,0
"Supremacy Not Only Intense by Afnan 34 oz EDP Cologne for Men New In Box",45954,45954,0,1242,1242,0,1,1,0,1,1,0
"NAUTICA VOYAGE cologne for men EDT 67 oz 68 New in Box",45903,45903,0,1391,1391,0,1,1,0,1,1,0
"Valentino Donna Born In Roma Perfume 34ozEDP Spray for Women New in Sealed Box",45344,0,45344,416,0,416,1,0,1,1,0,1
"RED by Giorgio Beverly Hills 33  34 oz EDT For Men New in BOX",45072,45072,0,2817,2817,0,1,1,0,1,1,0
"Sung Perfume by Alfred Sung for Women 33  34 oz EDT New in Box",45056,0,45056,2048,0,2048,1,0,1,1,0,1
"Abercrombie  Fitch Fierce 67 oz200 ml Eau de Cologne Brand New Sealed In Box",44884,44884,0,916,916,0,1,1,0,1,1,0
"I Want Choo Forever by Jimmy Choo 33 oz EDP Perfume for Women New in Box",44660,0,44660,770,0,770,1,0,1,1,0,1
"Mont Blanc Legend by Mont Blanc cologne for men EDP 33  34 oz New In Box",44424,44424,0,1234,1234,0,1,1,0,1,1,0
"Daisy Eau So Fresh Perfume by Marc Jacobs 42 oz EDT Spray for Women Sealed Box",44031,0,44031,1129,0,1129,1,0,1,1,0,1
"Giorgio Armani Acqua Di Gio 34 oz Mens Eau de Toilette Cologne NEW  SEALED",43036,43036,0,1484,1484,0,1,1,0,1,1,0
"Mini Versace Crystal Noir by Versace 017 oz EDT Perfume for Women New In Box",42975,0,42975,4775,0,4775,1,0,1,1,0,1
"ETERNITY for Men by CALVIN KLEIN 33  34 oz EDT New In box",42222,42222,0,1362,1362,0,1,1,0,1,1,0
"Bad Boy by Carolina Herrera 51 oz Eau de Toilette Spray for Men New NO Box",42120,42120,0,780,780,0,1,1,0,1,1,0
